Load,Stiffness
4,593.697487349181
4,620.00515392918
4,612.547079174782
4,619.181193304392
4,633.873370899177
4,627.923826263989
4,620.945782049609
4,627.161839877492
4,628.898640814685
4,643.329142400276
4,627.422986401461
4,610.501502428541
4,645.559973176684
4,635.857319043711
4,622.818365425453
4,631.886266052949
4,632.293969559203
4,626.178603470064
4,614.798123469008
4,641.189613946978
4,633.93175082164
4,629.581781602769
4,620.227604699901
4,624.31707058245
4,624.216594695389
4,641.418706273166
4,618.162744014438
4,645.966264649415
4,625.743819385183
4,639.151764570801
4,597.488921132064
4,622.239190277863
4,632.860694306559
4,645.581839882208
4,624.590940457656
4,606.02024632049
4,634.175331132991
4,627.008075983633
4,624.329124671819
4,598.623930115862
4,634.149321110822
4,633.854408159494
4,618.184765687863
4,650.547200581247
4,603.260584231286
4,613.050790344562
4,636.494532415436
4,624.570339766509
4,620.965230430055
4,636.241120070761
4,638.357134498957
4,619.173770690501
4,615.536058041542
4,642.736639736762
4,633.912613102087
4,631.092771460109
4,638.949743592463
4,642.115540134908
4,644.856466831162
4,630.456488732812
4,621.822941848141
4,626.75175253645
4,633.175742452178
4,598.940318345718
4,634.0211063946
4,623.559173260391
4,652.796164589521
4,644.538502790499
4,611.661530342697
4,609.221802664095
4,631.390985157427
4,632.214356122355
4,633.304621483819
4,636.499081649189
4,651.443140717057
4,646.449993551522
4,641.438105593237
4,629.267484695454
4,619.897302468948
4,632.737826841308
4,629.82163543243
4,620.900165263928
4,619.952453990953
4,638.267787831425
4,626.793908795263
4,626.623280750729
4,626.787657686652
4,629.046070589167
4,639.531394577854
4,627.267020868447
4,618.008324780343
4,635.332715129704
4,620.018710005429
4,634.340690847893
4,634.620115640503
4,632.878009328975
4,632.967245096821
4,624.298401757378
4,628.739344815813
4,625.374015959705
4,625.69332338646
4,635.986847355106
4,627.275355236503
4,629.611223905688
4,637.358153154548
4,633.865968766938
4,622.091296186185
4,640.292939997971
4,632.802848413905
4,640.258820837035
4,634.637552614983
4,637.9048421962
4,622.26798637158
4,637.791414371043
4,624.985255682494
4,623.174844349593
4,635.251004369862
4,631.33884653464
4,625.256636167578
4,633.463172470445
4,632.614612832424
4,625.184967489781
4,631.374824141815
4,655.777668084231
4,627.558712723986
4,625.391250432535
4,628.305257798649
4,627.788527933151
4,634.013771861985
4,628.926143834768
4,632.629589361233
4,626.270849276135
4,625.0001359118
4,618.169828053865
4,635.821943186413
4,624.312726921571
4,628.042364757232
4,633.784340967981
4,649.129684241275
4,628.74963012587
4,637.630373790244
4,628.868116598144
4,629.942469176134
4,628.785202225266
4,606.873364809969
4,613.988296554174
4,634.482183770127
4,629.452240440981
4,640.322337873555
4,629.14610648866
4,626.171790369362
4,632.178866388587
4,627.766025786645
4,625.519869767028
4,629.917360022891
4,633.349928553963
4,625.694098153853
4,619.247685831503
4,629.81214851406
4,633.028454678684
4,639.646244407909
4,629.391531539621
4,635.796968879992
4,643.938907733172
4,625.782070583851
4,623.793985102701
4,631.183876344507
4,642.664002536801
4,627.087918166169
4,607.027784711954
4,636.64279681079
4,646.729684491163
4,649.941836331733
4,611.334954606299
4,618.020491214826
4,647.156887011046
4,635.49404006668
4,609.753346283701
4,631.242983786296
4,622.973394891956
4,621.051003942256
4,639.452855383184
4,634.136536318935
4,633.854154668474
4,626.252366604584
4,634.37092493999
4,624.519291426248
4,631.576190596847
4,633.23523481939
4,619.937299276479
4,637.710014851256
4,630.372012667181
4,632.26768433116
4,623.878631146648
4,626.555917413452
4,627.185863143422
4,667.123597001681
4,624.058631159204
4,630.250745701806
4,634.708747964526
4,626.71749374909
4,633.490527628161
4,625.525327329575
4,636.981664653376
4,628.131064413176
4,612.537615829905
4,632.638992244477
4,623.516169570364
4,626.52086348277
4,628.566973831873
4,626.349181857557
4,643.206961312645
4,617.122256753169
4,641.076619866518
4,651.716941130249
4,626.83405760578
4,605.076183328431
4,632.770647044687
4,623.784724408973
4,622.129353517512
4,634.006745860326
4,632.406266250711
4,645.536762486476
4,634.414575481159
4,615.618483221669
4,632.508883036927
4,650.987890054908
4,612.547853802864
4,641.798831760043
4,625.706914148053
4,625.057034065672
4,622.196864968688
4,619.816259191023
4,620.90569778311
4,642.065517453554
4,627.594229730546
4,640.154878348952
4,624.877061392763
4,635.137376611524
4,618.271495255021
4,646.573150414474
4,629.521670092697
4,621.065246605508
4,624.402689157802
4,623.880795354009
4,628.764259758229
4,624.415142414315
4,637.129464307108
4,643.652363725887
4,624.593328879877
4,635.318131719431
4,635.624976610501
4,635.789956438352
4,637.211890153975
4,644.125426878549
4,627.455108535525
4,623.10667392364
4,608.914126040822
4,620.091767064401
4,621.561728328066
4,626.733804704709
4,624.11924144768
4,634.059387133871
4,633.162774867462
4,632.768500438356
4,622.965770248811
4,611.494367216378
4,620.38377130204
4,613.011810281899
4,630.538460056272
4,614.991821774998
4,651.492166776768
4,644.512143997403
4,642.850665606793
4,620.529970410771
4,632.729956961521
4,619.169297553748
4,628.662081367766
4,619.503073292945
4,623.145677469109
4,625.180437672954
4,629.643319360743
4,597.748882040577
4,614.619908168742
4,648.518238588002
4,627.913713662162
4,623.770900727431
4,632.88101269926
4,643.431684649776
4,635.996912871524
4,624.663524741414
4,627.955946436762
4,629.05913591813
4,624.637079979313
4,625.285397518625
4,622.179174613794
4,622.308917170268
4,628.092070021863
4,608.039046956792
4,619.960264829752
4,633.230470074027
4,624.928192583985
4,629.482722185477
4,634.153455263544
4,627.929284531973
4,646.498217010069
4,605.603633543674
4,622.16582507595
4,644.809639879311
4,641.61679902394
4,597.712705831644
4,633.519327260907
4,646.404628438159
4,622.176724742542
4,622.111637457924
4,632.85128823272
