,Load,Stiffness
0,4,592.6603582
1,4,621.9697950282916
2,4,611.0680722
3,4,610.6192482
4,4,612.8247819376462
5,4,611.4391329436605
6,4,610.2097904649399
7,4,611.8046524276771
8,4,612.0660117550505
9,4,613.2973690437875
10,4,617.9912459
11,4,615.7121667
12,4,615.9920598
13,4,614.4570500823866
14,4,614.9186096703442
15,4,612.8780684231798
16,4,615.1959447950954
17,4,615.2454688408026
18,4,614.5485193886512
19,4,616.0756906007338
20,4,616.1228987030787
21,4,616.4382078346566
22,4,615.4454735005414
23,4,618.8559900095055
24,4,617.1996913045099
25,4,619.2444804060045
26,4,622.8683029956077
27,4,618.9391574897492
28,4,608.3376721260742
29,4,616.5132067587532
30,4,624.4248875823886
31,4,619.4350845153723
32,4,617.1392065887485
33,4,612.9043606517739
34,4,613.4900946999919
35,4,623.0689134463751
36,4,615.6427765
37,4,608.4056480100052
38,4,614.8039972993629
39,4,615.7185744162614
40,4,621.1024573602293
41,4,628.9974980917566
42,4,619.1099941190083
43,4,618.9805115022026
44,4,613.1200801826385
45,4,621.7316609
46,4,623.4891470637202
47,4,630.8219958407923
48,4,619.9068924
49,4,623.9259754412886
50,4,619.2828424833541
51,4,617.2808838662058
52,4,617.8585099117004
53,4,619.5596174427621
54,4,613.4674665
55,4,619.5885789420398
56,4,620.7937584975143
57,4,621.0337610664648
58,4,621.0183334199679
59,4,618.9585382070766
60,4,623.8428614963041
61,4,620.3764689702306
62,4,621.8609299895655
63,4,615.2670551807471
64,4,620.4491541879515
65,4,607.9494494161937
66,4,621.4582394598374
67,4,620.7978817398645
68,4,626.3540192838312
69,4,615.5858142734708
70,4,623.6365028944095
71,4,625.9015515
72,4,616.5185334621773
73,4,617.2169755862337
74,4,618.9150535926027
75,4,621.8498014698091
76,4,618.1787449572901
77,4,620.0827870534483
78,4,625.4822207326597
79,4,630.3808179764151
80,4,626.2444081476534
81,4,622.6064778
82,4,623.5685568988528
83,4,619.9960529
84,4,624.1744478203251
85,4,620.6471123432522
86,4,624.7162009667798
87,4,621.4628594971173
88,4,620.3327837495971
89,4,620.1589611910946
90,4,614.6824610092614
91,4,620.4644830621382
92,4,625.7456880984334
93,4,616.5025728619937
94,4,619.6054105916885
95,4,618.4001666615973
96,4,615.7892296516055
97,4,618.4345958452874
98,4,623.2090254118178
99,4,610.9356106927801
100,4,624.0194668644021
101,4,623.2952153501772
102,4,616.1199883276688
103,4,615.7911707
104,4,627.3213434459368
105,4,618.9815781662932
106,4,617.0539467459463
107,4,619.8670785
108,4,619.7286028019487
109,4,620.1992935559989
110,4,615.519421
111,4,622.2337496
112,4,620.4093215
113,4,616.1901255838345
114,4,616.9618779428848
115,4,615.8821223578399
116,4,628.0468844063387
117,4,615.5254490721196
118,4,615.1621482159153
119,4,622.3545346998559
120,4,621.0029289
121,4,624.2173320520225
122,4,620.0140752
123,4,627.0885885754764
124,4,620.3139213620034
125,4,618.7746704825801
126,4,617.1121936868088
127,4,612.3947543164998
128,4,621.5921222328229
129,4,612.1771496440987
130,4,611.9936638513659
131,4,618.9422583
132,4,613.5159469225658
133,4,620.9450625186066
134,4,621.2108977988123
135,4,620.2882986
136,4,620.4675971401816
137,4,617.2791646086745
138,4,618.2226652011518
139,4,619.4102329918852
140,4,618.0243795251682
141,4,614.6124913862902
142,4,615.7766813174443
143,4,619.7237852799772
144,4,616.9736249990431
145,4,617.684499
146,4,620.1938003793771
147,4,619.4830402227955
148,4,618.5085645812516
149,4,616.5647711710832
150,4,619.7691238599733
151,4,618.0232153377816
152,4,621.6739157992346
153,4,623.2334547
154,4,625.5268399177869
155,4,611.7380486564174
156,4,619.2057278964423
157,4,619.0082405811364
158,4,615.2629167
159,4,621.2226707379822
160,4,617.4091276798634
161,4,619.8458337888031
162,4,618.0218998697129
163,4,618.5205735262826
