Cycles,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
301.34721024464386,86.55682000485294,46.467230754908535,77.07457338542358,59.024129531994035,48.85613327845549,56.83925801521964
306.049192506915,86.8575978669219,46.59987372042578,77.3452626268029,59.21334732509747,48.92669189914514,57.12700470487479
310.75117476918615,86.91367853138487,46.627958998283404,77.36647310443061,59.23183103401766,48.95469886570641,57.14032395705456
315.4531570314573,87.41377384975223,46.73568745950789,77.73497550170953,59.4866436843578,49.09426224257716,57.44928423052394
320.1551392937284,88.22722104937691,46.94483279096462,78.35740661594832,59.961651334369535,49.36998035235901,58.02163492064827
324.8571215559995,88.23161763794565,47.0139288844932,78.44106096266538,60.007695719820646,49.391527617356644,58.116121644786176
329.55910381827067,88.9228710427638,47.347002248215446,79.10495472175845,60.46697212936246,49.644994271111955,58.754568263113995
334.2610860805418,89.45500498599623,47.62904965848989,79.65754288314713,60.868001725421564,49.875868177750476,59.2920216339796
338.96306834281296,89.84900600836761,47.85231832560399,80.07273528851624,61.16748025249092,50.04313141891379,59.706284020556794
343.66505060508405,90.17234457001143,47.85873729820671,80.21899042550251,61.27606655386079,50.092058405215155,59.83822902055681
348.3670328673552,90.83656919586178,47.97703525739039,80.65895083366581,61.59532444501724,50.248500241949856,60.219352898107815
353.06901512962634,91.30986838408015,48.03373391735209,80.95876936671178,61.79702213706706,50.32973233629851,60.426579386613554
357.7709973918975,91.81028009544423,48.101830853489446,81.24728348884182,61.996297218101205,50.41190883446559,60.62769237330083
362.4729796541686,92.09192094624399,48.32772486065987,81.63213610053515,62.26454739276568,50.57662639421922,61.025921136860305
367.1749619164397,92.95814215947411,48.74368304925946,82.4924170106923,62.88512844413795,50.943367021007866,61.87092203106627
371.87694417871086,93.04596881904362,48.84165654844945,82.5345631282577,62.92828602062487,51.011089150144635,61.982167689478686
376.578926440982,93.23473177283205,48.88878422051138,82.57252263611602,62.956385963388186,51.02897253180075,61.99433862450098
381.28090870325315,93.83614993609737,48.97489510486512,82.93724025516363,63.22266072529294,51.14852457261707,62.29499535919487
385.9828909655243,106.64943841084968,53.53031023150303,92.39425487005659,70.14205758331468,55.82160306854228,71.9035778695816
390.6848732277954,135.79609238061332,64.1895231390905,114.19863381000974,86.19964669822703,66.74071432484152,94.11757531546135
395.3868554900665,160.12582697512127,73.25935663697133,132.23156050338866,99.64371237618408,76.15618194887543,112.65242950501153
400.08883775233767,187.89638612730488,83.56255618316861,153.03151513685566,115.08974456906881,86.8433872522771,133.9471445005552
404.7908200146088,213.43192250572955,93.21241877021198,172.11829069122211,129.3808766124478,96.92014653095862,153.6009354758691
409.49280227687996,241.54915428308172,103.78591351294936,193.2968132428914,145.1949640383764,107.93926203861866,175.35887359626219
414.19478453915104,267.13076339196095,113.51926695989884,212.4795744292718,159.62209522226357,118.12810371686064,195.15042630559725
418.8967668014222,295.5484948013569,124.21615114128828,233.92484462698621,175.65844475028823,129.31198621132827,217.22255893139084
423.59874906369333,321.5190825261463,134.11119970954456,253.4488427550043,190.37210262135375,139.72876451276284,237.4332263495291
428.3007313259645,350.879780337166,145.16975720856516,275.6903642729728,207.0441977472575,151.3581659684027,260.3452364050906
433.0027135882356,362.8699879165311,150.02270479454396,284.7871052253537,214.21123143111993,156.72035449353496,269.97608770138686
437.7046958505067,363.5143293486664,150.48070276504592,285.51464100707915,215.04725805803557,157.5412964879424,270.8964181496145
442.40667811277785,365.36222074654506,151.29474453240073,287.1876007889743,216.53963525414002,158.69502949800668,272.78223425085423
447.108660375049,365.5622557198071,151.53527918480717,287.48021848950907,217.092831938632,159.29521618249865,273.368045320373
451.81064263732014,366.52284330533337,151.90227714642995,288.3766720339169,218.01350819301794,160.0217264834855,274.5234108461405
456.5126248995913,367.3904864994595,152.09895649877694,288.94397855741516,218.11191055388144,160.18575170262366,274.79017673358635
461.2146071618624,369.1646439475257,152.7673628192183,290.5218276749628,219.49157357561202,161.19929651768868,276.5721563986204
465.9165894241335,370.94897205278886,153.26034531992957,291.8164394502117,220.09735704076138,161.31589624599593,277.54245285238994
470.61857168640466,373.8852206998816,154.3420398658078,294.3209454038263,222.10951443802543,162.70912139883197,280.1581642324376
475.3205539486758,377.4771987103528,155.4638691328235,297.02474116298856,223.77231213436056,163.5082679433346,282.6298410387204
