Cycles,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15
4.09375,31.619519861111115,32.121239722222214,32.24296375,34.2082323611111,27.955676666666648,12.468838888888882,13.147330138888897,33.6227673611111,18.25007875,14.606719861111102,15.836746805555563,22.136243611111112,24.51949319444445,26.710713194444452,25.116048750000004,27.277187916666662
8.1875,45.96245583333334,46.65403166666667,46.8267127777778,49.76597666666669,41.41088638888888,18.33129861111111,19.461404722222234,49.564277685185175,27.16161574074073,21.766132129629625,23.576432037037023,32.98951148148147,35.98382824074075,39.31781185185187,37.081782222222216,40.14878444444443
12.28125,51.65479569444443,52.48973263888888,52.696214027777756,56.07852222222223,46.28694145833333,20.991773194444434,22.37947756944444,55.08126965277779,30.64733583333333,24.65785520833333,26.713483680555555,37.2724217361111,40.41865062500001,44.06147625,41.50871048611111,44.92260388888889
16.375,53.73574140720223,54.78281897614647,54.9282773601108,58.588526227916276,47.78545177177594,22.442679930594025,24.065932760080024,56.47195850646352,31.962422219452122,25.681055418590333,28.002578556017227,38.849512088796544,41.86021051323486,45.479585451831326,42.83039641089567,46.281920810864904
20.46875,57.3235193912283,58.51269208022009,58.63945361305014,62.615448155343415,51.130610003767686,24.322104825195836,26.11808448592246,60.2234793377653,34.38406430879239,27.63347254719008,30.211594544643475,41.818042138373485,44.95149215290978,48.708500951941375,45.848550221836376,49.359511424070064
24.5625,60.25819431946553,61.526600156061676,61.59261039848741,65.84167631569119,53.84459083656279,25.82475183429483,27.881900194282743,63.352014948243266,36.45122793928236,29.32314638965498,32.055578458900754,44.30631437257411,47.47207045646233,51.34768815721958,48.303400031415265,51.90222229206003
28.65625,60.86651082814345,62.22949305322061,62.25244680700982,66.62593267900758,54.1106167736591,26.5704074036191,28.840287114441843,63.48159179499066,37.022111669094286,29.779041702059217,32.60437660292705,44.85303847878011,47.85718581607121,51.66931394312269,48.61105606915504,52.17341377638587
32.75,62.609336168226264,64.04464456582573,64.0229685198112,68.58188790603143,55.71082308893156,27.676652969883648,30.15124937950386,65.35848857085588,38.43308660709616,30.892197994423015,33.809704480379594,46.357687845335406,49.367807176013926,53.25937659141769,50.13700835776743,53.765262893824485
36.84375,64.52488077362588,65.99987197035426,65.96318805671899,70.72473369876158,57.57192886337171,28.742878311784168,31.383424413775707,67.561623630437,39.97262983527543,32.136604361647386,35.1426978101194,48.05789900524631,51.13275068063477,55.1094654878315,51.86582641087958,55.55221754888646
40.9375,71.32108155140364,73.0037374425765,72.94475739005227,78.30572003209497,63.44017811337173,32.240810589561946,35.281067663775694,74.3400723526592,44.39360611305318,35.698971500536274,39.0961134490083,53.206565421913,56.584987625079194,60.81957118227592,57.20907824421292,61.130721965553164
45.03125,73.12974619029251,74.93657841479873,74.80821280671898,80.45806753209499,65.2281463633717,33.79369764511749,37.14891846933126,76.27078015821476,46.15008283527544,37.12222019498071,40.71271050456386,55.068399921912984,58.39045156952365,62.58300329338704,58.89680943865736,62.714845243330956
49.125,73.86187438473695,75.7657863036876,75.57230252894118,81.44810664320605,65.82969747448283,34.87095931178416,38.46834577488681,76.83345707488141,47.13474566860876,37.94067480609182,41.67313539345274,55.95986681080187,59.26920173619031,63.3036953489426,59.55584013310181,63.231307493330945
53.21875,74.08637282918141,76.11241322035426,75.85436608449677,81.90781497653936,65.96594972448284,35.80240992289528,39.636883441553486,76.86260221377032,47.76612491860877,38.44561552831405,42.317530004563864,56.39666025524632,59.67629540285698,63.48539371005373,59.68458252199068,63.34272510444208
57.3125,76.64465214229341,78.70301505485918,78.44177076516556,84.78795939979884,68.74180184749304,37.42850943539152,41.47291950386877,80.20628137163416,50.016948598266794,40.32531895256885,44.32571056120396,58.822075625812445,62.37027096061591,66.21129381406686,62.26427071719283,65.84011030803163
61.40625,76.67051970346284,78.75826894061444,78.46187596960388,84.9456701170883,68.7915924397044,38.08162489392129,42.302792289769904,80.31131079431489,50.49266543373619,40.801259756741715,44.850732353115916,59.0657375321543,62.66186033653703,66.31262284847298,62.38314543212118,65.88435859968513
65.5,76.85691214790728,79.00764546839224,78.68304674738164,85.28879781153276,69.00085710637109,38.848147449476855,43.179665400881014,80.47768973875932,51.064218211513975,41.31238842340839,45.459964797560374,59.43587736548763,63.1391498643148,66.57731870958412,62.64651918212118,65.95946209968514
69.59375,79.24207956457394,81.39268444061446,81.07098785849274,87.91664156153277,71.66399174525998,40.28116758836573,44.713093984214346,83.66752784987048,53.064140461514,43.033062923408394,47.345482075338154,61.66844844882097,65.74544489209258,69.11922076513966,65.07751637656563,68.30976582190735
73.6875,79.56084150901836,81.70312538505888,81.3717427473816,88.13380100597723,71.96035046748224,40.738273199476836,45.20071006754768,84.24586534987051,53.14265757262507,43.228245840075076,47.665225380893716,61.69166272659872,65.82972241987035,69.36501318180632,65.31118998767676,68.82661251635179
77.78125,80.46464062012947,82.61221527394775,82.29239721960386,89.18562997819944,73.12905921748228,41.63524486614351,46.13826290088101,85.43953704431502,54.119639628180664,44.104350617852845,48.74901613089369,62.744814476598705,67.02181528098144,70.40745398736186,66.41836468212122,69.77833259968514
81.875,81.37286336401681,83.52062472612971,83.2194985049644,90.2314352736962,74.313338830373,42.435192927656985,46.92029711002679,86.60785020912462,55.086124279991225,44.985496233915995,49.822920085629065,63.81991434591161,68.23481951372675,71.52703900724734,67.60328937254215,70.85421167938182
85.96875,81.51534586401678,83.63912544835196,83.39838075496442,90.44752760702954,74.6985419692619,42.8925117609903,47.290393721137896,86.74717518134682,55.537383418880125,45.455744595027085,50.474782002295754,64.34017501257829,68.81520473594897,71.92461664613626,68.02860440031989,71.107002401604
90.0625,82.11433678068349,84.22962414279638,84.00782633829772,91.08065660702957,75.55343874703968,43.50690737210142,47.85187549891568,87.50802162579132,56.18728208554677,46.10841698391597,51.34316289118463,65.17198551257827,69.78514554150455,72.70210564613623,68.81535323365324,71.74030192938181
94.15625,82.59043216957235,84.66850844835196,84.45759228274216,91.5480034125851,76.26214027481745,44.00335662210141,48.24493016558234,88.06818109801353,56.77338597443568,46.69934287280486,52.16191589118465,65.9255359848005,70.68787781928229,73.43000925724732,69.60376637254211,72.37445462382627
98.25,83.20514123619256,85.25017709799602,85.0238801442402,92.11752943092307,77.05714257147483,44.53691953319705,48.72990158433813,88.775990048029,57.330040351718225,47.27277054481043,52.98793872320259,66.70584001428053,71.63680053268372,74.1837013439852,70.36413508300328,72.94725857035985
102.34375,83.4263859661095,85.45487097995971,85.23669047980499,92.29987668438571,77.38082413064689,45.047091061513456,49.20427734803466,88.89891723239336,57.53738140181059,47.53065161606314,53.50908698251315,67.05971695264618,72.15520003830083,74.3950147698855,70.54696438486539,73.00012872771597
106.4375,84.47255045388417,86.46326384695138,86.2865257110027,93.37586937790161,78.67983247055713,45.77356668198699,49.87868097028784,90.21251360913433,58.369777383627365,48.3053011331631,54.57473192610648,68.17887219297425,73.51744353737233,75.58626920844938,71.74659342571962,74.05661983480357
110.53125,84.7323574741981,86.73532678647129,86.5652130057087,93.72050469984677,78.90177426072333,46.008858118044245,50.05608391773321,90.71572512860186,58.47758847988774,48.315408236810384,54.819331184416725,68.22893351838208,73.55072512470691,75.77421787311539,71.85803263362973,74.36915411273523
114.625,85.66724570880038,87.66612882709347,87.49821643591602,94.64198809337816,79.98038949865278,46.684747391489,50.69342210343424,91.87540759718749,59.19062045605611,48.93325471808555,55.74198213195616,69.1737117932196,74.74496957580563,76.81039456338155,72.89818625781729,75.23536106004255
118.71875,86.15213059768928,88.1263922715379,87.95241996369381,95.06568106560036,80.47269966531945,47.19805230815567,51.15219182565645,92.34710704163192,59.464832344944995,49.24779146808555,56.335724131956155,69.66307779321961,75.55604165913896,77.33658689671483,73.37509175781727,75.43327514337591
122.8125,86.26893843713526,88.20802259713363,88.06780209499988,95.12338074232582,80.5894976913176,47.56638569108664,51.45612522762179,92.35221681755272,59.59728677646774,49.40230226868907,56.73738523277636,69.90023611835115,76.00320270417144,77.51266043238493,73.51983545628525,75.52474713973928
126.90625,87.61268860380193,89.51725106935586,89.38142553944434,96.47980438121473,82.07470644131755,48.37912185775332,52.26147931095512,94.08061465088608,60.55758422091216,50.236161324244634,57.86273856610971,71.16158595168447,77.60226159306036,78.94636390460715,74.89166373406303,76.7099696119615
131.0,88.22542699888086,90.16873283537257,89.98758949905434,97.15789725199781,82.79953045176322,48.527920495326825,52.31972739537171,95.1316603594129,60.919531479423426,50.499517308382664,57.88394856572283,71.56050940912799,77.7750949261616,79.46457115135738,75.3547775043354,77.5209820779163
135.09375,89.6825569433253,91.58758641870591,91.44988327683214,98.63700372422005,84.41885797954103,49.39975805088238,53.15217806203837,97.00983780385738,61.98326620164562,51.356675447271556,59.03426509350059,72.88812896468356,79.40474928727274,81.01430056802403,76.84130950433541,78.88500193902738
139.1875,89.95105138776972,91.88147044648372,91.6758755823877,98.92636466866449,84.69934295176324,49.605865050882386,53.19830650648283,97.52647124830182,62.05388892386782,51.40681550282714,59.223175343500586,72.94727285357244,79.50660773171718,81.1496566235796,76.95908492100207,79.2045316890273
143.28125,90.38566841554749,92.31088147426152,92.16110199905435,99.41274350199782,85.31245847954096,50.01526266199349,53.45715683981617,98.09392758163514,62.58033686831223,51.782544919493844,59.864112926833926,73.57771296468356,80.30065345393938,81.84811640135743,77.6558803932243,79.75270027236064
147.375,91.09898096070603,92.98748359549705,92.9474775213192,100.2184831437389,86.27766998996933,50.52624876520416,53.78377997548849,99.07127899090531,63.32292964696023,52.32643189369887,60.644361238780775,74.40170871804584,81.22961902365829,82.77606372610529,78.62563623972,80.63490933855707
151.46875,91.7567301400207,93.61478987278318,93.49555743165806,100.7921124980549,86.85367486763042,50.62561727784701,53.885780148637956,100.04058686272535,63.51052772688371,52.56432054376559,60.67859685433335,74.72014667265968,81.50582975591705,83.26345718415669,79.06933665839605,81.27861137167457
155.5625,93.16523284986283,95.03211566549442,94.99542897367292,102.36823816007907,88.64954990747879,51.40254842106893,54.50411679627026,101.99901069969533,64.79357652849313,53.54211870137932,61.882732267904984,76.19249745337773,83.16785447148503,84.93931738277945,80.70725270087516,82.91312784103391
159.65625,94.35231236925338,96.16959902575914,96.08318863156765,103.53703924395109,89.84054228636461,51.55820800286334,54.81255978896032,103.6940122301663,65.28955115330078,54.01163860919712,62.22078664640607,76.95464314412875,83.9727995179609,85.94395435269328,81.60097702528267,83.93428008564763
163.75,95.51829695320572,97.37628151353388,97.30515817157075,104.78879095998334,91.30992576454469,52.206421054472756,55.37745808615933,105.36476715929044,66.39808257136019,54.82386516235404,63.23414354001487,78.17281206133707,85.32081290189781,87.346489145714,83.0015499563412,85.37970684524217
167.84375,95.78512670320572,97.65501679131168,97.56166103268188,105.08890520998338,91.54889065343355,52.285151582250535,55.40169578060378,105.8137646592904,66.40559232136019,54.88586774568738,63.294183317792644,78.3012130613371,85.4758413463423,87.5688544790473,83.16374726189679,85.54706773413108
171.9375,95.93637798978975,97.83417815289624,97.71350247567145,105.19245683592189,91.7947528349319,52.54451864858591,55.62723154021611,106.03939851009173,66.7450905931833,55.06711378053332,63.59151234749196,78.56641336427155,85.68216489158571,87.74038045594529,83.33194694221842,85.74171849725423
176.03125,96.92977514740349,98.82321555184393,98.68206918087105,106.18359508731461,92.94488273395692,53.09305204389696,56.187342182122656,107.40453698935508,67.64235109790317,55.72181828254507,64.38466062635298,79.50381234864169,86.73577794087386,88.77809980073019,84.39732543548675,86.80147940633813
180.125,97.78292178629238,99.66334757962167,99.5687137086488,107.18199847620352,93.96248865062358,53.13196907167473,56.19169509878933,108.67706673935513,68.03135129234761,56.15903836587839,64.73649329301965,80.207947681975,87.52338019087382,89.74671821739688,85.26954710215338,87.75281515633813
184.21875,98.72135506058828,100.68472300464492,100.67000716949687,108.4914620769463,94.08053787516707,53.9163983214426,57.00791712935261,108.90046573626014,68.16555793015323,56.3708316913968,65.07572254317442,80.4073983926683,87.7655008670577,89.80374900701312,85.33573418695684,87.92497477131798
188.3125,106.5145911712064,108.61587966627036,108.96575778925475,117.61873222008018,99.18801771428616,59.047887015182525,62.28919862157094,113.5749937472016,72.43439758902406,59.78728888844307,69.27678040943879,84.75545929923392,92.49815022507742,94.13577460474153,89.44980468526316,92.05334124698521
